case_id,activity,timestamp,lifecycle
case-891,Confirmation_of_receipt,2010-10-02T09:20:39.266+02:00,complete
case-891,T02_Check_confirmation_of_receipt,2010-10-02T09:21:26.588+02:00,complete
case-891,T03_Adjust_confirmation_of_receipt,2010-10-02T09:31:12.836+02:00,complete
case-891,T02_Check_confirmation_of_receipt,2010-10-02T09:31:40.160+02:00,complete
case-891,T03_Adjust_confirmation_of_receipt,2010-10-02T09:32:01.401+02:00,complete
case-891,T02_Check_confirmation_of_receipt,2010-11-09T14:13:52.563+01:00,complete
case-891,T04_Determine_confirmation_of_receipt,2010-11-09T14:14:10.016+01:00,complete
case-891,T05_Print_and_send_confirmation_of_receipt,2010-11-09T14:14:22.628+01:00,complete
case-891,T06_Determine_necessity_of_stop_advice,2010-11-09T14:14:37.300+01:00,complete
case-891,T07-1_Draft_intern_advice_aspect_1,2010-11-09T14:17:36.097+01:00,complete
case-891,T06_Determine_necessity_of_stop_advice,2010-11-10T07:52:33.800+01:00,complete
case-891,T07-1_Draft_intern_advice_aspect_1,2010-11-10T07:52:51.041+01:00,complete
case-891,T06_Determine_necessity_of_stop_advice,2010-11-10T07:53:08.065+01:00,complete
case-891,T10_Determine_necessity_to_stop_indication,2010-11-10T09:38:45.959+01:00,complete
case-891,T11_Create_document_X_request_unlicensed,2010-11-10T09:38:57.202+01:00,complete
case-891,T12_Check_document_X_request_unlicensed,2010-11-10T09:39:07.674+01:00,complete
case-891,T14_Determine_document_X_request_unlicensed,2010-11-10T09:39:21.494+01:00,complete
case-891,T15_Print_document_X_request_unlicensed,2010-11-12T13:40:44.291+01:00,complete
case-3756,Confirmation_of_receipt,2010-10-05T08:32:48.565+02:00,complete
case-3756,T06_Determine_necessity_of_stop_advice,2010-10-05T08:42:49.801+02:00,complete
case-3756,T02_Check_confirmation_of_receipt,2010-10-05T09:31:29.133+02:00,complete
case-3756,T07-1_Draft_intern_advice_aspect_1,2010-10-05T09:32:37.563+02:00,complete
case-3756,T06_Determine_necessity_of_stop_advice,2010-10-05T09:39:14.231+02:00,complete
case-3756,T10_Determine_necessity_to_stop_indication,2010-10-05T09:40:16.663+02:00,complete
case-3756,T04_Determine_confirmation_of_receipt,2010-10-05T10:44:20.945+02:00,complete
case-3756,T05_Print_and_send_confirmation_of_receipt,2010-10-05T15:16:10.469+02:00,complete
case-3766,Confirmation_of_receipt,2010-10-05T13:01:58.437+02:00,complete
case-3766,T06_Determine_necessity_of_stop_advice,2010-10-05T13:07:35.391+02:00,complete
case-3766,T10_Determine_necessity_to_stop_indication,2010-10-05T13:08:22.858+02:00,complete
case-3766,T02_Check_confirmation_of_receipt,2010-10-05T15:03:36.552+02:00,complete
case-3766,T03_Adjust_confirmation_of_receipt,2010-10-05T15:22:03.157+02:00,complete
case-3766,T02_Check_confirmation_of_receipt,2010-10-05T15:26:38.519+02:00,complete
case-3766,T04_Determine_confirmation_of_receipt,2010-10-06T09:12:49.541+02:00,complete
case-3766,T05_Print_and_send_confirmation_of_receipt,2010-10-07T15:16:55.755+02:00,complete
case-3818,Confirmation_of_receipt,2010-10-18T09:24:27.073+02:00,complete
case-3818,T06_Determine_necessity_of_stop_advice,2010-10-18T10:45:17.970+02:00,complete
case-3818,T02_Check_confirmation_of_receipt,2010-10-18T11:25:15.229+02:00,complete
case-3818,T03_Adjust_confirmation_of_receipt,2010-10-18T12:27:27.873+02:00,complete
case-3818,T02_Check_confirmation_of_receipt,2010-10-20T12:18:19.102+02:00,complete
case-3818,T07-5_Draft_intern_advice_aspect_5,2010-10-21T08:14:04.349+02:00,complete
case-3818,T06_Determine_necessity_of_stop_advice,2010-10-21T08:36:37.616+02:00,complete
case-3818,T10_Determine_necessity_to_stop_indication,2010-10-21T08:37:49.327+02:00,complete
case-3818,T03_Adjust_confirmation_of_receipt,2010-10-21T09:23:05.590+02:00,complete
case-3818,T02_Check_confirmation_of_receipt,2010-10-21T11:40:14.028+02:00,complete
case-3818,T03_Adjust_confirmation_of_receipt,2010-10-21T11:47:50.697+02:00,complete
case-3818,T02_Check_confirmation_of_receipt,2010-10-21T11:50:06.814+02:00,complete
case-3818,T04_Determine_confirmation_of_receipt,2010-10-22T13:21:52.847+02:00,complete
case-3818,T05_Print_and_send_confirmation_of_receipt,2010-10-25T11:52:01.185+02:00,complete
case-416,Confirmation_of_receipt,2010-10-20T12:56:58.348+02:00,complete
case-416,T02_Check_confirmation_of_receipt,2010-10-20T12:57:49.263+02:00,complete
case-416,T04_Determine_confirmation_of_receipt,2010-10-20T12:58:58.565+02:00,complete
case-416,T05_Print_and_send_confirmation_of_receipt,2010-10-20T12:59:23.662+02:00,complete
case-416,T06_Determine_necessity_of_stop_advice,2010-10-20T13:02:33.507+02:00,complete
case-416,T10_Determine_necessity_to_stop_indication,2010-11-08T14:07:42.360+01:00,complete
case-3989,Confirmation_of_receipt,2010-10-22T09:57:23.546+02:00,complete
case-3989,T02_Check_confirmation_of_receipt,2010-10-22T09:57:46.254+02:00,complete
case-3989,T04_Determine_confirmation_of_receipt,2010-10-22T09:58:13.317+02:00,complete
case-3989,T05_Print_and_send_confirmation_of_receipt,2010-10-22T09:58:35.137+02:00,complete
case-3989,T06_Determine_necessity_of_stop_advice,2010-10-22T09:59:04.836+02:00,complete
case-3989,T10_Determine_necessity_to_stop_indication,2010-10-22T09:59:36.800+02:00,complete
case-3991,Confirmation_of_receipt,2010-10-22T11:17:05.605+02:00,complete
case-3991,T06_Determine_necessity_of_stop_advice,2010-10-22T11:23:44.282+02:00,complete
case-3991,T02_Check_confirmation_of_receipt,2010-10-22T11:23:58.873+02:00,complete
case-3991,T04_Determine_confirmation_of_receipt,2010-10-22T11:24:08.474+02:00,complete
case-3991,T10_Determine_necessity_to_stop_indication,2010-10-22T11:30:31.019+02:00,complete
case-3991,T05_Print_and_send_confirmation_of_receipt,2010-10-22T11:34:43.024+02:00,complete
case-3984,Confirmation_of_receipt,2010-10-25T15:57:54.249+02:00,complete
case-3984,T06_Determine_necessity_of_stop_advice,2010-10-25T16:13:31.442+02:00,complete
case-3984,T07-5_Draft_intern_advice_aspect_5,2010-10-26T09:38:40.195+02:00,complete
case-3984,T07-1_Draft_intern_advice_aspect_1,2010-10-26T09:39:17.902+02:00,complete
case-3984,T08_Draft_and_send_request_for_advice,2010-10-26T09:41:04.891+02:00,complete
case-3984,T09-1_Process_or_receive_external_advice_from_party_1,2010-10-26T09:42:16.765+02:00,complete
case-3984,T07-3_Draft_intern_advice_hold_for_aspect_3,2010-11-02T15:47:29.459+01:00,complete
case-3984,T07-4_Draft_internal_advice_to_hold_for_type_4,2010-11-04T09:07:41.168+01:00,complete
case-3984,T07-2_Draft_intern_advice_aspect_2,2010-11-04T09:12:24.545+01:00,complete
