case_id,prefix,k,next_act
case-891,confirmation_of_receipt,0,t02_check_confirmation_of_receipt
case-891,confirmation_of_receipt t02_check_confirmation_of_receipt,1,t03_adjust_confirmation_of_receipt
case-891,confirmation_of_receipt t02_check_confirmation_of_receipt t03_adjust_confirmation_of_receipt,2,t02_check_confirmation_of_receipt
case-891,confirmation_of_receipt t02_check_confirmation_of_receipt t03_adjust_confirmation_of_receipt t02_check_confirmation_of_receipt,3,t03_adjust_confirmation_of_receipt
case-891,confirmation_of_receipt t02_check_confirmation_of_receipt t03_adjust_confirmation_of_receipt t02_check_confirmation_of_receipt t03_adjust_confirmation_of_receipt,4,t02_check_confirmation_of_receipt
case-891,confirmation_of_receipt t02_check_confirmation_of_receipt t03_adjust_confirmation_of_receipt t02_check_confirmation_of_receipt t03_adjust_confirmation_of_receipt t02_check_confirmation_of_receipt,5,t04_determine_confirmation_of_receipt
case-891,confirmation_of_receipt t02_check_confirmation_of_receipt t03_adjust_confirmation_of_receipt t02_check_confirmation_of_receipt t03_adjust_confirmation_of_receipt t02_check_confirmation_of_receipt t04_determine_confirmation_of_receipt,6,t05_print_and_send_confirmation_of_receipt
case-891,confirmation_of_receipt t02_check_confirmation_of_receipt t03_adjust_confirmation_of_receipt t02_check_confirmation_of_receipt t03_adjust_confirmation_of_receipt t02_check_confirmation_of_receipt t04_determine_confirmation_of_receipt t05_print_and_send_confirmation_of_receipt,7,t06_determine_necessity_of_stop_advice
case-891,confirmation_of_receipt t02_check_confirmation_of_receipt t03_adjust_confirmation_of_receipt t02_check_confirmation_of_receipt t03_adjust_confirmation_of_receipt t02_check_confirmation_of_receipt t04_determine_confirmation_of_receipt t05_print_and_send_confirmation_of_receipt t06_determine_necessity_of_stop_advice,8,t07-1_draft_intern_advice_aspect_1
case-891,confirmation_of_receipt t02_check_confirmation_of_receipt t03_adjust_confirmation_of_receipt t02_check_confirmation_of_receipt t03_adjust_confirmation_of_receipt t02_check_confirmation_of_receipt t04_determine_confirmation_of_receipt t05_print_and_send_confirmation_of_receipt t06_determine_necessity_of_stop_advice t07-1_draft_intern_advice_aspect_1,9,t06_determine_necessity_of_stop_advice
case-891,confirmation_of_receipt t02_check_confirmation_of_receipt t03_adjust_confirmation_of_receipt t02_check_confirmation_of_receipt t03_adjust_confirmation_of_receipt t02_check_confirmation_of_receipt t04_determine_confirmation_of_receipt t05_print_and_send_confirmation_of_receipt t06_determine_necessity_of_stop_advice t07-1_draft_intern_advice_aspect_1 t06_determine_necessity_of_stop_advice,10,t07-1_draft_intern_advice_aspect_1
case-891,confirmation_of_receipt t02_check_confirmation_of_receipt t03_adjust_confirmation_of_receipt t02_check_confirmation_of_receipt t03_adjust_confirmation_of_receipt t02_check_confirmation_of_receipt t04_determine_confirmation_of_receipt t05_print_and_send_confirmation_of_receipt t06_determine_necessity_of_stop_advice t07-1_draft_intern_advice_aspect_1 t06_determine_necessity_of_stop_advice t07-1_draft_intern_advice_aspect_1,11,t06_determine_necessity_of_stop_advice
case-891,confirmation_of_receipt t02_check_confirmation_of_receipt t03_adjust_confirmation_of_receipt t02_check_confirmation_of_receipt t03_adjust_confirmation_of_receipt t02_check_confirmation_of_receipt t04_determine_confirmation_of_receipt t05_print_and_send_confirmation_of_receipt t06_determine_necessity_of_stop_advice t07-1_draft_intern_advice_aspect_1 t06_determine_necessity_of_stop_advice t07-1_draft_intern_advice_aspect_1 t06_determine_necessity_of_stop_advice,12,t10_determine_necessity_to_stop_indication
case-891,confirmation_of_receipt t02_check_confirmation_of_receipt t03_adjust_confirmation_of_receipt t02_check_confirmation_of_receipt t03_adjust_confirmation_of_receipt t02_check_confirmation_of_receipt t04_determine_confirmation_of_receipt t05_print_and_send_confirmation_of_receipt t06_determine_necessity_of_stop_advice t07-1_draft_intern_advice_aspect_1 t06_determine_necessity_of_stop_advice t07-1_draft_intern_advice_aspect_1 t06_determine_necessity_of_stop_advice t10_determine_necessity_to_stop_indication,13,t11_create_document_x_request_unlicensed
case-891,confirmation_of_receipt t02_check_confirmation_of_receipt t03_adjust_confirmation_of_receipt t02_check_confirmation_of_receipt t03_adjust_confirmation_of_receipt t02_check_confirmation_of_receipt t04_determine_confirmation_of_receipt t05_print_and_send_confirmation_of_receipt t06_determine_necessity_of_stop_advice t07-1_draft_intern_advice_aspect_1 t06_determine_necessity_of_stop_advice t07-1_draft_intern_advice_aspect_1 t06_determine_necessity_of_stop_advice t10_determine_necessity_to_stop_indication t11_create_document_x_request_unlicensed,14,t12_check_document_x_request_unlicensed
case-891,confirmation_of_receipt t02_check_confirmation_of_receipt t03_adjust_confirmation_of_receipt t02_check_confirmation_of_receipt t03_adjust_confirmation_of_receipt t02_check_confirmation_of_receipt t04_determine_confirmation_of_receipt t05_print_and_send_confirmation_of_receipt t06_determine_necessity_of_stop_advice t07-1_draft_intern_advice_aspect_1 t06_determine_necessity_of_stop_advice t07-1_draft_intern_advice_aspect_1 t06_determine_necessity_of_stop_advice t10_determine_necessity_to_stop_indication t11_create_document_x_request_unlicensed t12_check_document_x_request_unlicensed,15,t14_determine_document_x_request_unlicensed
